training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6550597,2.125497,0.0,-20.38303,-23.05821,3.4306133,-4.6913433,66.00902,-3.2542467,-19.596413,-22.281002,0.042127926,0.014855608558654785,74.27804565429688,5000
0.53720856,2.6560707,-4.570073,-30.464745,-39.653187,4.078588,-3.7717423,73.412155,-5.6170855,-29.801487,-39.04363,0.13504285,0.0016919992446899415,82.73804545402527,10000
0.5431173,3.4237351,0.0,-37.7546,-52.53524,4.699098,-4.9017687,124.34607,-5.5408115,-37.298447,-52.07185,0.13657671,0.0016764235496520997,91.12016725540161,15000
0.5803931,2.9646711,0.0,-43.946632,-61.81288,4.6376295,-3.5944092,88.01472,-0.6485144,-43.39213,-61.42288,0.15750337,0.0017003395557403564,99.62186884880066,20000
0.5285362,4.1935124,0.0,-44.985283,-68.740265,8.748351,-8.543627,145.63849,-0.16639823,-44.537888,-68.425575,0.20668808,0.0016589354515075684,107.91654968261719,25000
0.49010274,3.7327662,0.0,-44.37661,-74.240555,3.8783495,-2.8732634,70.22319,-1.6035514,-43.980206,-73.99366,0.19283643,0.0016704349040985108,116.26872849464417,30000
0.5209609,3.947838,0.0,-47.558426,-78.923645,8.025074,-6.034751,113.543205,-0.6410371,-47.037277,-78.71711,0.1763515,0.0016691691875457763,124.61457800865173,35000
0.46952528,5.16146,0.0,-43.428997,-82.77983,6.658675,-6.1087093,114.075165,0.12932275,-43.00821,-82.61216,0.15336058,0.0017031726837158203,133.1304452419281,40000
0.48012802,4.7294645,0.0,-47.039597,-85.76695,22.114138,-13.850385,237.20598,-2.8541446,-46.62958,-85.62294,0.20646293,0.001712933349609375,141.69511580467224,45000
0.48577744,3.9231622,0.8654431,-46.16459,-88.29486,10.045171,-11.697673,150.13525,2.0046828,-45.861,-88.10242,0.22584464,0.0016678622722625732,150.0344316959381,50000
0.45213777,3.6863697,0.0,-48.04731,-90.311874,9.46506,-8.4487295,185.21548,0.69571906,-47.59617,-90.212906,0.5256983,0.001739744234085083,158.7331566810608,55000
0.44528604,3.3105247,0.75558686,-48.763786,-92.07666,4.3906026,-3.0945616,82.11534,1.5444841,-48.16465,-91.991745,0.18731429,0.0017283545017242432,167.374933719635,60000
0.49006662,3.0150142,0.0,-52.905647,-93.422134,4.622572,-3.294325,93.184135,0.16110699,-52.36316,-93.34686,0.20991603,0.0017392317295074464,176.07109570503235,65000
0.46022415,3.7081738,0.0,-46.793533,-94.52487,8.935542,-9.904596,138.45499,-0.13349909,-46.391945,-94.456635,0.20899904,0.0016886518001556397,184.51435780525208,70000
