training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6010094,0.0019379699,-21.10205,-23.245487,-23.656176,0.10454615,-0.10127002,3.2005305,-20.436213,-22.471708,-22.885159,0.00012591193,0.014847808647155762,74.23904585838318,5000
0.527138,0.0004451219,-38.817146,-40.256985,-40.445362,0.077761315,-0.10085629,2.3467348,-38.215244,-39.651936,-39.843777,2.9999572e-05,0.0017497668743133544,82.98788380622864,10000
0.49323237,0.00026819622,-52.526485,-53.83423,-53.905376,0.16015325,-0.10214245,2.6422088,-52.081215,-53.367435,-53.439747,6.9107314e-06,0.0017049301147460938,91.51253938674927,15000
0.55663323,0.0004785253,-63.199455,-64.413956,-64.48228,0.10973608,-0.10742865,2.6371346,-62.830273,-64.05507,-64.12328,2.015955e-05,0.001693202018737793,99.97855353355408,20000
0.48960975,0.00918675,-71.809715,-72.81936,-72.90411,0.14807668,-0.18836883,6.397086,-71.46033,-72.54483,-72.63062,3.9636914e-05,0.0017092817783355713,108.5249662399292,25000
0.47772336,0.00023962534,-79.16184,-79.99414,-80.06032,0.16942357,-0.19766095,2.7331436,-78.97339,-79.7924,-79.86016,8.813796e-06,0.0017023795127868652,117.03686738014221,30000
0.5300671,0.0018675299,-84.008896,-84.696915,-84.740654,0.2246828,-0.14631215,2.6739035,-83.83144,-84.53884,-84.58658,4.784525e-05,0.0017049044609069824,125.56139373779297,35000
0.512475,0.014905652,-87.84274,-88.67141,-88.77097,0.23004693,-0.14178538,7.8905373,-87.95926,-88.558395,-88.65654,0.00035225876,0.0017314341068267822,134.21856832504272,40000
0.4454518,0.0013876783,-91.323,-91.731094,-91.78269,0.17061706,-0.11787721,3.2120154,-91.099815,-91.647446,-91.698944,6.659163e-05,0.001775191831588745,143.09453129768372,45000
0.44505408,0.00044462635,-93.79281,-94.11433,-94.14162,0.12415715,-0.13045026,2.3074594,-93.729965,-94.055176,-94.084045,2.8537037e-05,0.0017338614463806151,151.76384282112122,50000
0.4723337,0.0009780474,-96.13102,-96.39856,-96.42611,0.15071426,-0.1654193,3.2945027,-96.06042,-96.362015,-96.38738,8.4658335e-05,0.001736504602432251,160.44636940956116,55000
0.48867792,0.0023667742,-97.221725,-97.45496,-97.50874,0.13063048,-0.14232716,3.081585,-97.19383,-97.42852,-97.4869,0.00020387216,0.001705550765991211,168.97412705421448,60000
0.53135747,0.0069078994,-97.24386,-97.92349,-97.987595,0.15769476,-0.13457489,4.199217,-97.222336,-97.90416,-97.95499,0.00018758315,0.0017214935779571534,177.58159828186035,65000
0.50423336,0.0051905843,-97.8203,-98.441956,-98.51795,0.10926499,-0.104633935,2.8702188,-97.798096,-98.427284,-98.49732,0.00037267344,0.0017178740501403809,186.17097210884094,70000
0.47870934,0.008908196,-97.96475,-98.87349,-98.95354,0.15268415,-0.1983148,6.5404496,-97.90926,-98.86423,-98.94129,0.00016539334,0.001715080976486206,194.74638104438782,75000
0.43986896,0.013604885,-98.727234,-99.14871,-99.23715,0.2387506,-0.37986523,10.912127,-98.70982,-99.1411,-99.20998,0.005245964,0.0017328601837158202,203.41068530082703,80000
0.4726561,0.011666689,-97.94259,-99.61151,-99.70439,0.11126044,-0.09844661,3.9697552,-97.753174,-99.610535,-99.69256,0.00015138599,0.0017255317687988282,212.03834772109985,85000
0.3896365,0.1152463,-97.84486,-100.121994,-100.1871,1.2168912,-2.3344805,15.61401,-98.64058,-100.13169,-100.19229,0.0009915744,0.0016913357734680175,220.49503016471863,90000
0.4191578,0.0018602603,-99.41574,-100.14555,-100.203224,0.1726025,-0.15080439,2.5684314,-99.411194,-100.14158,-100.23622,0.00016505294,0.0017391829490661622,229.19094824790955,95000
0.47085917,0.009321446,-96.95032,-100.1937,-100.29648,0.15873876,-0.15742235,5.7488165,-96.8345,-100.19147,-100.30162,0.00093206397,0.0017088752746582032,237.73532819747925,100000
0.50526834,0.0078088474,-98.57792,-99.90467,-100.01766,0.44969067,-0.21637651,6.037639,-98.57105,-99.90176,-100.028496,0.00044916826,0.010552259111404418,290.49662733078003,105000
0.46654484,0.028930672,-96.14185,-99.514145,-99.73786,0.15519044,-0.1593318,6.2308903,-96.732,-99.52083,-99.7237,0.00613707,0.0017824013710021974,299.4086375236511,110000
0.4764131,0.41983432,-92.09614,-98.894485,-99.28525,0.9358896,-1.5811222,39.49711,-92.02318,-98.87309,-99.258484,0.020321168,0.0017391420841217041,308.1043527126312,115000
0.42573738,0.68481946,-88.83087,-98.576935,-98.847916,1.8770359,-1.4924045,40.505753,-88.44107,-98.563934,-98.838356,0.03042867,0.001749790620803833,316.85330986976624,120000
0.46141875,0.14000472,-87.07576,-98.02553,-98.728546,0.79977214,-0.41689718,25.262869,-85.97969,-98.008194,-98.70969,0.0066778134,0.0017960673332214356,325.8336503505707,125000
