training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.49484754,1.8393803,0.0,-75.69256,-108.922714,9.8057375,-5.519469,113.64733,-0.17674834,-75.41405,-109.007355,0.09575712,0.001739134168624878,235.58912467956543,85000
0.43647268,2.117824,0.0,-74.15921,-108.10203,10.71379,-12.344013,127.60167,0.8144947,-73.8926,-108.18437,0.15150587,0.001732450819015503,244.25138211250305,90000
0.50289977,4.086423,0.0,-76.50264,-107.66473,46.566265,-40.123234,302.2806,0.41257906,-76.13136,-107.57196,0.20454693,0.0017232308864593507,252.8675401210785,95000
0.4892715,1.9164909,0.0,-75.46431,-106.95789,21.193806,-19.902382,169.61363,0.23565352,-75.18062,-106.87215,0.13329625,0.001680000638961792,261.267546415329,100000
0.5183766,1.261568,0.0,-78.10117,-106.17333,4.917387,-6.5134063,69.32545,-0.4999448,-77.81343,-106.22237,0.07410132,0.01421038703918457,332.31948494911194,105000
0.50555116,2.1595304,0.0,-75.67877,-106.774864,28.651651,-25.017763,235.58401,0.19083086,-75.37262,-106.807526,0.15892693,0.001749653959274292,341.0677580833435,110000
0.44540298,2.7296011,0.0,-73.60077,-115.11539,44.416294,-39.66749,228.28987,0.53600127,-73.34953,-115.26913,0.103715464,0.0017278171062469483,349.7068474292755,115000
0.4715929,1.5830708,0.0,-75.34546,-107.75093,12.824131,-10.728041,114.20022,-0.68592834,-75.054695,-107.82772,0.0787622,0.0017260315418243409,358.3370084762573,120000
0.49220365,2.2901325,0.0,-74.81383,-105.514656,6.6346107,-13.340645,139.26808,-0.801553,-74.55973,-105.58221,0.1877556,0.001746856689453125,367.07129526138306,125000
0.42747325,2.6817753,0.0,-74.02158,-118.94625,48.631523,-58.950146,409.4708,-0.3679654,-73.78836,-119.14,0.32146564,0.001726124382019043,375.7019205093384,130000
0.42292777,2.7293806,-7.387443,-76.963974,-116.587746,38.24596,-39.00865,268.0233,-7.5008817,-76.76378,-116.752335,0.11281911,0.001725690507888794,384.3303771018982,135000
0.44904947,11.231764,0.0,-78.43651,-117.25096,42.610565,-30.457964,490.25934,-1.0608923,-78.188995,-117.42388,0.55949414,0.0017324570178985596,392.9926657676697,140000
0.46206647,2.4330618,0.0,-75.15992,-122.10568,21.122847,-19.332655,168.06097,1.9321598,-75.043015,-122.32549,0.09041045,0.0017387739658355713,401.6865394115448,145000
0.48233667,1.2800668,0.0,-76.082016,-109.504616,19.01284,-17.481115,126.06931,0.47180277,-75.79585,-109.6014,0.05653062,0.0017761198043823243,410.5671420097351,150000
0.42423904,2.5691292,0.0,-75.32547,-124.81603,33.78818,-35.94243,264.49774,0.9940939,-75.09089,-125.07149,0.11476958,0.0017214097023010254,419.17419362068176,155000
0.45632216,1.6287489,0.0,-74.16147,-101.76186,19.529787,-26.467508,155.65344,0.063267544,-73.945206,-101.97157,0.07643958,0.0017372242927551269,427.8603184223175,160000
0.46770912,1.7618212,0.0,-75.17102,-119.420074,14.520784,-17.271015,152.24403,1.849343,-74.978485,-119.61993,0.08424191,0.0017712672710418701,436.7166578769684,165000
0.4957829,1.4611757,0.0,-74.909966,-99.582344,20.32887,-16.47643,129.35263,0.0154797435,-74.675865,-99.57171,0.08045368,0.0017782276153564453,445.60779905319214,170000
0.42844275,1.3268465,-1.5433016,-75.43895,-100.679535,17.636272,-16.745785,114.48051,-0.55249524,-75.20567,-100.58225,0.08994779,0.0017372662544250489,454.2941343784332,175000
0.4339976,1.6713262,0.0,-75.43651,-102.18208,5.9247904,-7.203123,105.68554,1.151327,-75.18387,-102.20411,0.15805861,0.0017672924041748047,463.13059997558594,180000
0.5070486,3.7562718,0.0,-73.37393,-122.235054,48.79042,-42.52425,314.60718,0.62195426,-73.11479,-122.46215,0.35447234,0.001781601619720459,472.0386116504669,185000
0.42339587,1.1588002,0.0,-77.56979,-101.212746,7.6025343,-7.006678,80.94469,-0.2580279,-77.35628,-101.22453,0.05812539,0.0017753443717956543,480.9153380393982,190000
0.44247878,2.590762,0.0,-73.39643,-101.65564,25.244757,-23.761368,200.2016,1.2959983,-73.20259,-101.67297,0.13949338,0.0017562727451324463,489.69670510292053,195000
0.46728507,1.1004477,0.0,-77.16706,-100.931206,5.101494,-9.547045,81.229675,-0.18353099,-76.906425,-100.94088,0.11152903,0.0017884965419769287,498.63919138908386,200000
